course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ARTH 440,ARTH,440,Romantic Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Studies English, French, and German art from the end of the eighteenth century through 1840; focuses on revivalist movements, historicism, landscape art, and changing conceptions of art and artist during the period. 3 undergraduate hours. 3 or 4 graduate hours.",,,,,,3.33
ARTH 443,ARTH,443,The Russian Avant-Garde: Revolutionary Forms and Socialist Norms,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","What happens to art's forms and institutions in a socialist society? What kind of patron is the working class, the public, or the state? Can art be revolutionary? If so, how so? What does it look like? In this course, we will look at the ways that artists strove to answer these questions in the decades surrounding the Russian Revolution of 1917. Examining formations across a broad range of media—including painting and sculpture, mass festivals and monuments, theater, design, architecture, photography, and cinema—we will attempt to understand how art was redefined in terms of collective forms of authorship, common spaces, and shared things. 3 undergraduate hours. 4 graduate hours.",,,,,,
ARTH 445,ARTH,445,European Art Between the Wars,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Study of the leading personalities and movements in European painting, sculpture, and architecture, with emphasis on painting. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 447,ARTH,447,France and Its Others,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Examines the relationship between art and colonialism in nineteenth-century France. Topics include orientalism, primitivism, and exoticism; the central figures include Delacroix, Flaubert, Gerome, and Gauguin. 3 undergraduate hours. 3 or 4 graduate hours.",,,,,,
ARTH 450,ARTH,450,Institutional Critique,"3 Hours
3 undergraduate hours. No graduate credit.","Institutions—from the museum to the university—overwhelmingly frame the terms and conditions by which we encounter art and come to know what matters most in the so-called art world. This seminar focuses on artistic and activist efforts devised to bring these institutional frameworks into greater public view. Our primary concern will be to examine theories and practices of institutional critique, a genre of artmaking and mode of analysis that is often periodized as emerging in the 1970s and that was extensively conceptualized in the 1990s. We will also study its earlier twentieth century precedents and continued reverberations today. 3 undergraduate hours. No graduate credit. Prerequisite: Restricted to students with junior standing or consent of the instructor.",Prerequisite: Restricted to students with junior standing or consent of the instructor.,No graduate credit.,,,,
ARTH 460,ARTH,460,Museum Management,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","This course is concerned with advanced theoretical issues of art museum work, taught by the professional staff of a museum. Topics covered include collections, curatorial issues, educational program planning, trustee relations, public outreach, fundraising, budgeting, and staff organization. 3 undergraduate hours. 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 462,ARTH,462,Museum Theory and Practice,3 or 4 Hours,Same as ANTH 462 and LA 472. See ANTH 462.,,,,,,
ARTH 489,ARTH,489,Senior Art-History Honors-BA,"2 to 5 Hours
2 to 5 undergraduate hours. No graduate credit.","Independent guided research and study in a selected area of art history for candidates for the Bachelor of Arts in Art History with departmental distinction. 2 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 5 hours. (Counts for advanced hours in LAS). Prerequisite: Senior standing in the art history curriculum; a cumulative grade point average of 3.25; an art history grade point average of 3.5; and consent of instructor, department advisor, and associate director of the School.","Prerequisite: Senior standing in the art history curriculum; a cumulative grade point average of 3.25; an art history grade point average of 3.5; and consent of instructor, department advisor, and associate director of the School.",No graduate credit.,,,,
ARTH 490,ARTH,490,Senior Art-History Honors-BFA,"2 to 5 Hours
2 to 5 undergraduate hours. No graduate credit.","Directed independent research and study for honors. 2 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 5 hours. Prerequisite: Senior standing in Fine and Applied Arts art history, a cumulative grade point average of 3.0, and consent of instructor, advisor, and associate director of the School.","Prerequisite: Senior standing in Fine and Applied Arts art history, a cumulative grade point average of 3.0, and consent of instructor, advisor, and associate director of the School.",No graduate credit.,,,,
ARTH 491,ARTH,491,Topics in Art History,"1 to 4 Hours
1 to 4 undergraduate hours. 1 to 4 graduate hours.",Variable content; consult the Class Schedule for current topics. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated if topics vary. Prerequisite: Junior standing or consent of instructor.,Prerequisite: Junior standing or consent of instructor.,,,,,
