course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CWL 466,CWL,466,Russia and the Other,3 or 4 Hours,Same as RUSS 461. See RUSS 461.,,,,,,
CWL 467,CWL,467,Japanese Cinema,3 or 4 Hours,Same as EALC 466 and MACS 466. See MACS 466.,,,,,,
CWL 470,CWL,470,Scandinavian Politics and Society,3 or 4 Hours,Same as EURO 470 and SCAN 470. See SCAN 470.,,,,,,
CWL 471,CWL,471,International Lit Relations,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Study of specific relations between authors of different countries; influences of certain works, concepts, or tastes on another work, author, or country; and literary interaction between Eastern and Western cultures. Emphasis changes from term to term. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated to a maximum of 9 undergraduate hours or 12 graduate hours. Prerequisite: One year of college literature or consent of instructor.",Prerequisite: One year of college literature or consent of instructor.,,,,,
CWL 472,CWL,472,Kierkegaard and the Self,3 or 4 Hours,"Same as PHIL 472, REL 472, and SCAN 472. See SCAN 472.",,,,,,
CWL 477,CWL,477,Post-Communist Fiction,3 or 4 Hours,Same as SLAV 477 and REES 477. See SLAV 477.,,,,,,
CWL 478,CWL,478,Classical Chinese Thought,3 or 4 Hours,Same as EALC 476 and HIST 425. See EALC 476.,,,,,,
CWL 481,CWL,481,Topics in Arabic Literature & Culture,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Studies in Arabic literature and culture of various genres, periods, and regions. Graduate students are encouraged to read the texts in the original language. 3 undergraduate hours. 4 graduate hours. May be repeated in the same semester to a maximum of 6 undergraduate hours or 8 graduate hours if topics vary; May be repeated in separate semesters to a maximum of 12 undergraduate hours or 16 graduate hours if topics vary. Prerequisite: One year of college literature or consent of instructor.",Prerequisite: One year of college literature or consent of instructor.,,,,,
CWL 490,CWL,490,Topics in Classical Literature,3 or 4 Hours,Same as CLCV 490. See CLCV 490.,,,,,,
CWL 493,CWL,493,Senior Thesis and Honors,"3 to 6 Hours
3 to 6 undergraduate hours. No graduate credit.","Independent research guided by tutor(s), leading to the writing of a comparative thesis. Intended primarily for candidates for honors in comparative literature, but open to other seniors. 3 to 6 undergraduate hours. No graduate credit. May be repeated to a maximum of 12 hours.",,No graduate credit.,,,,
CWL 496,CWL,496,Special Topics in Comp Lit II,"3 to 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.",Selected literary topics of international significance in relation to other cultural expressions. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated to a maximum of 9 undergraduate or 12 graduate hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
CWL 501,CWL,501,Theory of Literature,4 Hours,"Major issues of literary theory, critical approaches, and comparative research.",,,,,,
